ID|type|ownanswer|content|header|number|numberheader|pollID|poll|calctype|homepage|hideresults|diagramtype
ИД|Тип вариантов ответа|Свой вариант ответа|Пояснительный текст|Заголовок вопроса|Номер вопроса|numberheader|Опрос:ИД|Опрос|calctype|Отображать на главной|Скрывать результаты|Тип диаграммы результатов
18|Один ответ|False|<div class="ExternalClassB2763E42FB03494196FF1703BC172968"><br></div><p>​</p>|Оцените уровень своей информированности о деятельности администрации города?​​​|1|string|1. Оцените уровень своей информированности о деятельности администрации города?​​​|12| Информационная открытость деятельности администрации города|string|Один ответ|True|False|Столбчатая
19|Один ответ|False||Достаточно ли вам информации о деятельности администрации города, которая размещена на официальном сайте администрации города?|2|string|2. Достаточно ли вам информации о деятельности администрации города, которая размещена на официальном сайте администрации города?|12| Информационная открытость деятельности администрации города|string|Один ответ|False|False|Горизонтальная столбчатая
20|Один ответ|False|| Вы считаете информацию, размещенную на официальном сайте администрации города объективной?|3|string|3.  Вы считаете информацию, размещенную на официальном сайте администрации города объективной?|12| Информационная открытость деятельности администрации города|string|Один ответ|False|False|Круговая
21|Один ответ|False||Информация о деятельности муниципальной власти достоверная и полная?|4|string|4. Информация о деятельности муниципальной власти достоверная и полная?|12| Информационная открытость деятельности администрации города|string|Один ответ|False|False|Столбчатая
22|Один ответ|False||​Как часто вы обращаетесь в структурные подразделения администрации города за информацией?​|5|string|5. ​Как часто вы обращаетесь в структурные подразделения администрации города за информацией?​|12| Информационная открытость деятельности администрации города|string|Один ответ|False|False|Столбчатая
23|Несколько ответов|False||Какая форма обращения в администрацию города Вам предпочтительнее?|6|string|6. Какая форма обращения в администрацию города Вам предпочтительнее?|12| Информационная открытость деятельности администрации города|string|Несколько ответов|True|False|Столбчатая
24|Один ответ|False||Благоустройство какого городского общественного места стоит продолжить в рамках реализации федерального проекта «Формирование современной городской среды»?|1|string|1. Благоустройство какого городского общественного места стоит продолжить в рамках реализации федерального проекта «Формирование современной городской среды»?|13|Выбор объекта благоустройства|string|Один ответ|False|True|Горизонтальная столбчатая
25|Один ответ|False||Благоустройство какого городского общественного места стоит провести в первую очередь?|2|string|2. Благоустройство какого городского общественного места стоит провести в первую очередь?|13|Выбор объекта благоустройства|string|Один ответ|False|True|Горизонтальная столбчатая
26|Ответ в свободной форме|False||Какие еще общественные места города требуют благоустройства?|3|string|3. Какие еще общественные места города требуют благоустройства?|13|Выбор объекта благоустройства|string|Ответ в свободной форме|False|True|Горизонтальная столбчатая
27|Один ответ|False||Какое из наименований, на ваш взгляд, наиболее подходит для названия общественного пространства в Свердловском районе, посвященного Великой Победе?|1|string|1. Какое из наименований, на ваш взгляд, наиболее подходит для названия общественного пространства в Свердловском районе, посвященного Великой Победе?|14|Голосуем за название сквера в честь 75-летия Победы!|string|Один ответ|False|False|Столбчатая
28|Один ответ|False||По Вашему мнению, какой проект является лучшим? |1|string|1. По Вашему мнению, какой проект является лучшим? |15|Выбор лучшего проекта комплекса крематория|string|Один ответ|False|True|Столбчатая
29|Ответ в свободной форме|False||Напишите, пожалуйста, свои предложения о том, как необходимо развивать остров Татышев?|1|string|1. Напишите, пожалуйста, свои предложения о том, как необходимо развивать остров Татышев?|16|Сбор предложений о путях развития городских островов|string|Ответ в свободной форме|False|False|Столбчатая
30|Ответ в свободной форме|False||Напишите, пожалуйста, свои предложения о том, как необходимо развивать остров Молокова?|2|string|2. Напишите, пожалуйста, свои предложения о том, как необходимо развивать остров Молокова?|16|Сбор предложений о путях развития городских островов|string|Ответ в свободной форме|False|False|Столбчатая
32|Ответ в свободной форме|False||Напишите, пожалуйста, свои предложения о том, как необходимо развивать остров Отдыха?|3|string|3. Напишите, пожалуйста, свои предложения о том, как необходимо развивать остров Отдыха?|16|Сбор предложений о путях развития городских островов|string|Ответ в свободной форме|False|False|Столбчатая
33|Один ответ|False||Хотели бы Вы, чтобы оплата отопления осуществлялась только в отопительный период (сентябрь-май) по показаниям общедомового прибора, то есть по фактическому потреблению?|1|string|1. Хотели бы Вы, чтобы оплата отопления осуществлялась только в отопительный период (сентябрь-май) по показаниям общедомового прибора, то есть по фактическому потреблению?|17|Механизм платы за отопление|string|Один ответ|False|False|Столбчатая
34|Один ответ|False||Как вы думаете, в какую сторону должен развиваться остров Татышев?|1|string|1. Как вы думаете, в какую сторону должен развиваться остров Татышев?|18|Пути развития острова Татышева|string|Один ответ|False|True|Столбчатая
35|Один ответ|False||Как часто вы посещаете остров Татышев?|2|string|2. Как часто вы посещаете остров Татышев?|18|Пути развития острова Татышева|string|Один ответ|False|True|Столбчатая
36|Несколько ответов|False||В какое время года вы чаще посещаете остров Татышев?|3|string|3. В какое время года вы чаще посещаете остров Татышев?|18|Пути развития острова Татышева|string|Несколько ответов|False|True|Столбчатая
37|Несколько ответов|False||Вы предпочитаете посещать остров…|4|string|4. Вы предпочитаете посещать остров…|18|Пути развития острова Татышева|string|Несколько ответов|False|True|Столбчатая
38|Несколько ответов|True||Если вы посещаете остров Татышев, то как вы предпочитаете проводить своё время на острове?|5|string|5. Если вы посещаете остров Татышев, то как вы предпочитаете проводить своё время на острове?|18|Пути развития острова Татышева|string|Несколько ответов|False|True|Столбчатая
39|Несколько ответов|False||Какие мероприятия, на ваш взгляд, необходимо проводить на острове?|6|string|6. Какие мероприятия, на ваш взгляд, необходимо проводить на острове?|18|Пути развития острова Татышева|string|Несколько ответов|False|True|Столбчатая
